year	sex	name	n	prop
1896	F	Gina	10	3.968e-5
1896	M	Thomas	2088	0.01617714
1896	M	Anna	17	1.3171e-4
1896	M	Felipe	10	7.748e-5
1897	F	Anna	5429	0.021866880000000002
1897	F	Magdalena	29	1.1681e-4
1897	F	Thomas	16	6.444e-5
1897	F	Gina	8	3.222e-5
1897	M	Thomas	1980	0.01623723
1897	M	Anna	19	1.5581e-4
1897	M	Felipe	10	8.201e-5
1898	F	Anna	5773	0.02105828
1898	F	Magdalena	38	1.3861e-4
1898	F	Thomas	11	4.012e-5
1898	M	Thomas	2161	0.01635832
1898	M	Anna	31	2.3466e-4
1899	F	Anna	5115	0.0206675
1899	F	Magdalena	28	1.1314e-4
1899	F	Gina	9	3.637e-5
1899	F	Thomas	8	3.232e-5
1899	M	Thomas	1811	0.01572144
1899	M	Anna	23	1.9966e-4
1899	M	Felipe	7	6.077e-5
1900	F	Anna	6114	0.01924142
1900	F	Magdalena	32	1.0071e-4
1900	F	Thomas	16	5.035e-5
1900	F	Gina	6	1.888e-5
1900	M	Thomas	2557	0.015771
1900	M	Anna	25	1.5419e-4
1900	M	Felipe	14	8.635e-5
1901	F	Anna	4923	0.01936443
1901	F	Magdalena	37	1.4554e-4
1901	F	Thomas	12	4.72e-5
1901	F	Gina	6	2.36e-5
1901	M	Thomas	1820	0.01574463
1901	M	Anna	18	1.5572e-4
1901	M	Felipe	13	1.1246e-4
1902	F	Anna	5288	0.01886321
1902	F	Magdalena	37	1.3199e-4
1902	F	Thomas	16	5.707e-5
1902	F	Gina	6	2.14e-5
1902	M	Thomas	2134	0.01607533
1902	M	Anna	16	1.2053e-4
1902	M	Felipe	15	1.1299e-4
1903	F	Anna	5098	0.01832521
1903	F	Magdalena	40	1.4378e-4
1903	F	Thomas	9	3.235e-5
1903	F	Gina	6	2.157e-5
1903	M	Thomas	1962	0.01517096
1903	M	Anna	18	1.3918e-4
1903	M	Felipe	13	1.0052e-4
1904	F	Anna	5330	0.01822621
1904	F	Magdalena	28	9.575e-5
1904	F	Thomas	16	5.471e-5
1904	M	Thomas	2057	0.01485113
1904	M	Anna	16	1.1552e-4
1904	M	Felipe	6	4.332e-5
1905	F	Anna	5424	0.0175044
1905	F	Magdalena	32	1.0327e-4
1905	F	Thomas	18	5.809e-5
1905	M	Thomas	2135	0.01490526
1905	M	Anna	21	1.4661e-4
1905	M	Felipe	10	6.981e-5
1906	F	Anna	5502	0.0175536
1906	F	Magdalena	33	1.0528e-4
1906	F	Thomas	13	4.148e-5
1906	F	Gina	6	1.914e-5
1906	M	Thomas	2176	0.01510366
1906	M	Felipe	22	1.527e-4
1906	M	Anna	13	9.023e-5
1907	F	Anna	5575	0.01652175
1907	F	Magdalena	32	9.483e-5
1907	F	Thomas	12	3.556e-5
1907	M	Thomas	2175	0.01371487
1907	M	Anna	20	1.2611e-4
1907	M	Felipe	12	7.567e-5
1908	F	Anna	5860	0.01652888
1908	F	Magdalena	28	7.898e-5
1908	F	Thomas	22	6.205e-5
1908	M	Thomas	2301	0.01383078
1908	M	Felipe	17	1.0218e-4
1908	M	Anna	10	6.011e-5
1909	F	Anna	5804	0.01576763
1909	F	Magdalena	47	1.2768e-4
1909	F	Thomas	12	3.26e-5
1909	F	Gina	8	2.173e-5
1909	M	Thomas	2468	0.01395399
1909	M	Anna	24	1.357e-4
1909	M	Felipe	19	1.0743e-4
1909	M	Dario	6	3.392e-5
1910	F	Anna	6436	0.01534112
1910	F	Magdalena	36	8.581e-5
1910	F	Thomas	18	4.291e-5
1910	F	Gina	6	1.43e-5
1910	M	Thomas	2851	0.01367248
1910	M	Anna	21	1.0071e-4
1910	M	Felipe	19	9.112e-5
1911	F	Anna	6753	0.01528457
1911	F	Magdalena	40	9.054e-5
1911	F	Thomas	23	5.206e-5
1911	F	Gina	6	1.358e-5
1911	M	Thomas	3292	0.0136374
1911	M	Felipe	25	1.0356e-4
1911	M	Anna	20	8.285e-5
1912	F	Anna	8586	0.0146341
1912	F	Magdalena	53	9.033e-5
1912	F	Thomas	34	5.795e-5
1912	F	Gina	17	2.898e-5
1912	M	Thomas	6087	0.01348301
1912	M	Anna	29	6.424e-5
1912	M	Felipe	29	6.424e-5
1912	M	Dario	10	2.215e-5
1913	F	Anna	9687	0.01479128
1913	F	Magdalena	49	7.482e-5
1913	F	Thomas	36	5.497e-5
1913	F	Gina	14	2.138e-5
1913	M	Thomas	7096	0.01323271
1913	M	Felipe	35	6.527e-5
1913	M	Anna	31	5.781e-5
1913	M	Dario	10	1.865e-5
1913	M	Johannes	8	1.492e-5
1914	F	Anna	11865	0.0148942
1914	F	Magdalena	56	7.03e-5
1914	F	Thomas	48	6.025e-5
1914	F	Gina	24	3.013e-5
1914	F	Sarafina	6	7.53e-6
1914	M	Thomas	8850	0.01295138
1914	M	Felipe	44	6.439e-5
1914	M	Anna	40	5.854e-5
1914	M	Dario	15	2.195e-5
1914	M	Johannes	6	8.78e-6
1915	F	Anna	15119	0.01476644
1915	F	Magdalena	76	7.423e-5
1915	F	Thomas	46	4.493e-5
1915	F	Gina	14	1.367e-5
1915	M	Thomas	11490	0.01304289
1915	M	Felipe	48	5.449e-5
1915	M	Anna	31	3.519e-5
1915	M	Dario	14	1.589e-5
1915	M	Johannes	7	7.95e-6
1916	F	Anna	15228	0.0140257
1916	F	Magdalena	85	7.829e-5
1916	F	Thomas	49	4.513e-5
1916	F	Gina	29	2.671e-5
1916	M	Thomas	11998	0.0129953
1916	M	Felipe	54	5.849e-5
1916	M	Anna	35	3.791e-5
1916	M	Dario	24	2.599e-5
1916	M	Dominik	5	5.42e-6
1917	F	Anna	15160	0.01349117
1917	F	Magdalena	68	6.051e-5
1917	F	Thomas	55	4.895e-5
1917	F	Gina	17	1.513e-5
1917	M	Thomas	12611	0.0131457
1917	M	Felipe	72	7.505e-5
1917	M	Anna	33	3.44e-5
1917	M	Dario	20	2.085e-5
1917	M	Johannes	11	1.147e-5
1918	F	Anna	15666	0.01302932
1918	F	Magdalena	79	6.57e-5
1918	F	Thomas	69	5.739e-5
1918	F	Gina	21	1.747e-5
1918	F	Sarafina	5	4.16e-6
1918	M	Thomas	13910	0.01326437
1918	M	Felipe	99	9.44e-5
1918	M	Anna	31	2.956e-5
1918	M	Dario	16	1.526e-5
1918	M	Johannes	11	1.049e-5
1919	F	Anna	14498	0.01234242
1919	F	Thomas	66	5.619e-5
1919	F	Magdalena	62	5.278e-5
1919	F	Gina	19	1.618e-5
1919	M	Thomas	13434	0.01323108
1919	M	Felipe	95	9.356e-5
1919	M	Anna	42	4.137e-5
1919	M	Dario	20	1.97e-5
1919	M	Johannes	7	6.89e-6
1920	F	Anna	14580	0.01171989
1920	F	Magdalena	84	6.752e-5
1920	F	Thomas	82	6.591e-5
1920	F	Gina	35	2.813e-5
1920	M	Thomas	14938	0.01356992
1920	M	Felipe	108	9.811e-5
1920	M	Anna	33	2.998e-5
1920	M	Dario	22	1.999e-5
1920	M	Johannes	12	1.09e-5
1921	F	Anna	14477	0.01131271
1921	F	Magdalena	96	7.502e-5
1921	F	Thomas	76	5.939e-5
1921	F	Gina	34	2.657e-5
1921	M	Thomas	15308	0.01345238
1921	M	Felipe	102	8.964e-5
1921	M	Anna	28	2.461e-5
1921	M	Dario	22	1.933e-5
1921	M	Johannes	13	1.142e-5
1922	F	Anna	13405	0.01074501
1922	F	Magdalena	80	6.413e-5
1922	F	Thomas	67	5.371e-5
1922	F	Gina	27	2.164e-5
1922	M	Thomas	15264	0.01356485
1922	M	Felipe	129	1.1464e-4
1922	M	Anna	41	3.644e-5
1922	M	Dario	21	1.866e-5
1922	M	Johannes	5	4.44e-6
1923	F	Anna	12864	0.01027099
1923	F	Magdalena	106	8.463e-5
1923	F	Thomas	66	5.27e-5
1923	F	Gina	30	2.395e-5
1923	M	Thomas	15884	0.01402777
1923	M	Felipe	107	9.45e-5
1923	M	Anna	38	3.356e-5
1923	M	Dario	23	2.031e-5
1924	F	Anna	13079	0.01009411
1924	F	Magdalena	113	8.721e-5
1924	F	Thomas	85	6.56e-5
1924	F	Gina	30	2.315e-5
1924	F	Sarafina	5	3.86e-6
1924	M	Thomas	16557	0.01416259
1924	M	Felipe	124	1.0607e-4
1924	M	Anna	32	2.737e-5
1924	M	Dario	27	2.31e-5
1924	M	Johannes	11	9.41e-6
1925	F	Anna	12249	0.00969776
1925	F	Magdalena	96	7.6e-5
1925	F	Thomas	78	6.175e-5
1925	F	Gina	21	1.663e-5
1925	M	Thomas	16685	0.01449049
1925	M	Felipe	124	1.0769e-4
1925	M	Anna	34	2.953e-5
1925	M	Dario	28	2.432e-5
1925	M	Johannes	5	4.34e-6
1926	F	Anna	11698	0.00950939
1926	F	Thomas	111	9.023e-5
1926	F	Magdalena	86	6.991e-5
1926	F	Gina	36	2.926e-5
1926	F	Felipe	5	4.06e-6
1926	M	Thomas	16601	0.01449229
1926	M	Felipe	151	1.3182e-4
1926	M	Anna	48	4.19e-5
1926	M	Dario	25	2.182e-5
1927	F	Anna	11215	0.00907071
1927	F	Thomas	116	9.382e-5
1927	F	Magdalena	112	9.059e-5
1927	F	Gina	26	2.103e-5
1927	F	Sarafina	6	4.85e-6
1927	M	Thomas	17022	0.01465071
1927	M	Felipe	130	1.1189e-4
1927	M	Anna	49	4.217e-5
1927	M	Dario	28	2.41e-5
1927	M	Johannes	9	7.75e-6
1928	F	Anna	10574	0.00884511
1928	F	Thomas	142	1.1878e-4
1928	F	Magdalena	102	8.532e-5
1928	F	Gina	25	2.091e-5
1928	F	Sarafina	5	4.18e-6
1928	M	Thomas	16576	0.01452543
1928	M	Felipe	129	1.1304e-4
1928	M	Anna	51	4.469e-5
1928	M	Dario	27	2.366e-5
1929	F	Anna	9751	0.00842404
1929	F	Thomas	121	1.0453e-4
1929	F	Magdalena	92	7.948e-5
1929	F	Gina	22	1.901e-5
1929	M	Thomas	16276	0.01469566
1929	M	Felipe	96	8.668e-5
1929	M	Anna	42	3.792e-5
1929	M	Dario	23	2.077e-5
1929	M	Johannes	5	4.51e-6
1930	F	Anna	9079	0.00778363
1930	F	Thomas	128	1.0974e-4
1930	F	Magdalena	90	7.716e-5
1930	F	Gina	33	2.829e-5
1930	M	Thomas	17013	0.01506346
1930	M	Felipe	139	1.2307e-4
1930	M	Anna	52	4.604e-5
1930	M	Dario	22	1.948e-5
1930	M	Johannes	8	7.08e-6
1931	F	Anna	8430	0.00763846
1931	F	Magdalena	93	8.427e-5
1931	F	Thomas	89	8.064e-5
1931	F	Gina	37	3.353e-5
1931	F	Sarafina	6	5.44e-6
1931	M	Thomas	16846	0.01575028
1931	M	Felipe	122	1.1406e-4
1931	M	Anna	33	3.085e-5
1931	M	Dario	25	2.337e-5
1931	M	Johannes	10	9.35e-6
1932	F	Anna	7919	0.0071586
1932	F	Thomas	92	8.317e-5
1932	F	Magdalena	81	7.322e-5
1932	F	Gina	29	2.622e-5
1932	M	Thomas	16833	0.01566897
1932	M	Felipe	98	9.122e-5
1932	M	Anna	38	3.537e-5
1932	M	Dario	28	2.606e-5
1933	F	Anna	7073	0.00676236
1933	F	Thomas	96	9.178e-5
1933	F	Magdalena	85	8.127e-5
1933	F	Gina	22	2.103e-5
1933	M	Thomas	16500	0.01617634
1933	M	Felipe	113	1.1078e-4
1933	M	Anna	25	2.451e-5
1933	M	Dario	18	1.765e-5
1933	M	Johannes	8	7.84e-6
1934	F	Anna	6679	0.00617154
1934	F	Magdalena	64	5.914e-5
1934	F	Thomas	62	5.729e-5
1934	F	Gina	25	2.31e-5
1934	M	Thomas	17367	0.01635714
1934	M	Felipe	123	1.1585e-4
1934	M	Anna	25	2.355e-5
1934	M	Dario	23	2.166e-5
1935	F	Anna	6162	0.00567035
1935	F	Magdalena	82	7.546e-5
1935	F	Thomas	72	6.626e-5
1935	F	Gina	34	3.129e-5
1935	M	Thomas	17682	0.01653471
1935	M	Felipe	98	9.164e-5
1935	M	Anna	30	2.805e-5
1935	M	Dario	20	1.87e-5
1936	F	Anna	5725	0.00531327
1936	F	Thomas	76	7.053e-5
1936	F	Magdalena	54	5.012e-5
1936	F	Gina	30	2.784e-5
1936	M	Thomas	18338	0.01723221
1936	M	Felipe	103	9.679e-5
1936	M	Anna	37	3.477e-5
1936	M	Dario	17	1.597e-5
1936	M	Johannes	5	4.7e-6
1937	F	Anna	5449	0.00494571
1937	F	Magdalena	67	6.081e-5
1937	F	Thomas	66	5.99e-5
1937	F	Gina	39	3.54e-5
1937	M	Thomas	19773	0.01808259
1937	M	Felipe	93	8.505e-5
1937	M	Anna	18	1.646e-5
1937	M	Dario	16	1.463e-5
1938	F	Anna	5140	0.0045034
1938	F	Thomas	76	6.659e-5
1938	F	Magdalena	63	5.52e-5
1938	F	Gina	35	3.067e-5
1938	M	Thomas	21376	0.0188119
1938	M	Felipe	80	7.04e-5
1938	M	Anna	22	1.936e-5
1938	M	Dario	21	1.848e-5
1939	F	Anna	4931	0.00434816
1939	F	Thomas	74	6.525e-5
1939	F	Magdalena	60	5.291e-5
1939	F	Gina	37	3.263e-5
1939	M	Thomas	22127	0.01952678
1939	M	Felipe	99	8.737e-5
1939	M	Dario	27	2.383e-5
1939	M	Anna	18	1.588e-5
1939	M	Johannes	5	4.41e-6
1940	F	Anna	4717	0.00399323
1940	F	Thomas	86	7.28e-5
1940	F	Magdalena	67	5.672e-5
1940	F	Gina	40	3.386e-5
1940	M	Thomas	23987	0.02022475
1940	M	Felipe	93	7.841e-5
1940	M	Anna	25	2.108e-5
1940	M	Dario	24	2.024e-5
1941	F	Anna	4430	0.00355579
1941	F	Thomas	75	6.02e-5
1941	F	Magdalena	73	5.859e-5
1941	F	Gina	41	3.291e-5
1941	M	Thomas	26641	0.02123374
1941	M	Felipe	96	7.652e-5
1941	M	Dario	18	1.435e-5
1941	M	Anna	14	1.116e-5
1941	M	Johannes	7	5.58e-6
1942	F	Anna	4487	0.00322714
1942	F	Thomas	103	7.408e-5
1942	F	Magdalena	64	4.603e-5
1942	F	Gina	57	4.1e-5
1942	M	Thomas	31099	0.02208626
1942	M	Felipe	115	8.167e-5
1942	M	Anna	24	1.704e-5
1942	M	Dario	19	1.349e-5
1942	M	Johannes	6	4.26e-6
1943	F	Anna	4232	0.00294857
1943	F	Thomas	91	6.34e-5
1943	F	Magdalena	81	5.644e-5
1943	F	Gina	59	4.111e-5
1943	F	Tanja	5	3.48e-6
1943	M	Thomas	32860	0.02259489
1943	M	Felipe	145	9.97e-5
1943	M	Dario	18	1.238e-5
1943	M	Anna	13	8.94e-6
1944	F	Anna	3634	0.00265944
1944	F	Thomas	100	7.318e-5
1944	F	Magdalena	64	4.684e-5
1944	F	Gina	48	3.513e-5
1944	M	Thomas	31599	0.02274998
1944	M	Felipe	131	9.431e-5
1944	M	Dario	19	1.368e-5
1944	M	Anna	15	1.08e-5
1945	F	Anna	3607	0.00267966
1945	F	Thomas	100	7.429e-5
1945	F	Gina	89	6.612e-5
1945	F	Magdalena	61	4.532e-5
1945	M	Thomas	31870	0.02324097
1945	M	Felipe	154	1.123e-4
1945	M	Dario	25	1.823e-5
1945	M	Anna	12	8.75e-6
1945	M	Johannes	6	4.38e-6
1946	F	Anna	3998	0.00247885
1946	F	Gina	109	6.758e-5
1946	F	Thomas	109	6.758e-5
1946	F	Magdalena	75	4.65e-5
1946	M	Thomas	38868	0.02355322
1946	M	Felipe	135	8.181e-5
1946	M	Dario	25	1.515e-5
1946	M	Anna	14	8.48e-6
1947	F	Anna	4240	0.00233246
1947	F	Gina	181	9.957e-5
1947	F	Thomas	103	5.666e-5
1947	F	Magdalena	92	5.061e-5
1947	F	Tanja	5	2.75e-6
1947	M	Thomas	44833	0.02413774
1947	M	Felipe	133	7.161e-5
1947	M	Dario	22	1.184e-5
1947	M	Anna	15	8.08e-6
1948	F	Anna	4038	0.00231726
1948	F	Gina	196	1.1248e-4
1948	F	Magdalena	120	6.886e-5
1948	F	Thomas	95	5.452e-5
1948	M	Thomas	43778	0.02455901
1948	M	Felipe	163	9.144e-5
1948	M	Dario	30	1.683e-5
1948	M	Anna	15	8.41e-6
1948	M	Johannes	7	3.93e-6
1949	F	Anna	3897	0.00221989
1949	F	Gina	163	9.285e-5
1949	F	Magdalena	113	6.437e-5
1949	F	Thomas	100	5.696e-5
1949	M	Thomas	45204	0.02508776
1949	M	Felipe	161	8.935e-5
1949	M	Dario	21	1.165e-5
1949	M	Anna	15	8.32e-6
1949	M	Johannes	7	3.88e-6
1950	F	Anna	3817	0.00217045
1950	F	Gina	185	1.052e-4
1950	F	Magdalena	95	5.402e-5
1950	F	Thomas	83	4.72e-5
1950	F	Tanja	8	4.55e-6
1950	M	Thomas	45603	0.02506944
1950	M	Felipe	163	8.961e-5
1950	M	Dario	28	1.539e-5
1950	M	Anna	9	4.95e-6
1951	F	Anna	3868	0.00209389
1951	F	Gina	217	1.1747e-4
1951	F	Magdalena	140	7.579e-5
1951	F	Thomas	90	4.872e-5
1951	F	Tanja	10	5.41e-6
1951	M	Thomas	48278	0.02525227
1951	M	Felipe	167	8.735e-5
1951	M	Dario	29	1.517e-5
1951	M	Anna	14	7.32e-6
1952	F	Anna	3713	0.00195187
1952	F	Gina	337	1.7716e-4
1952	F	Magdalena	115	6.045e-5
1952	F	Thomas	79	4.153e-5
1952	F	Tanja	10	5.26e-6
1952	F	Sarafina	5	2.63e-6
1952	M	Thomas	48655	0.02464544
1952	M	Felipe	183	9.27e-5
1952	M	Dario	20	1.013e-5
1952	M	Anna	15	7.6e-6
1953	F	Anna	3837	0.00198901
1953	F	Gina	410	2.1253e-4
1953	F	Magdalena	122	6.324e-5
1953	F	Thomas	99	5.132e-5
1953	F	Tanja	14	7.26e-6
1953	M	Thomas	46971	0.02347076
1953	M	Felipe	173	8.645e-5
1953	M	Dario	46	2.299e-5
1953	M	Anna	12	6e-6
1953	M	Johannes	7	3.5e-6
1954	F	Anna	3998	0.0020082
1954	F	Gina	889	4.4655e-4
1954	F	Magdalena	122	6.128e-5
1954	F	Thomas	78	3.918e-5
1954	F	Tanja	12	6.03e-6
1954	M	Thomas	47156	0.02279815
1954	M	Felipe	178	8.606e-5
1954	M	Dario	32	1.547e-5
1954	M	Anna	12	5.8e-6
1955	F	Anna	4093	0.00204171
1955	F	Gina	1843	9.1934e-4
1955	F	Magdalena	132	6.585e-5
1955	F	Thomas	73	3.641e-5
1955	F	Tanja	18	8.98e-6
1955	M	Thomas	45819	0.02192723
1955	M	Felipe	190	9.093e-5
1955	M	Dario	43	2.058e-5
1955	M	Anna	15	7.18e-6
1955	M	Johannes	7	3.35e-6
1956	F	Anna	4386	0.00212988
1956	F	Gina	1958	9.5082e-4
1956	F	Magdalena	139	6.75e-5
1956	F	Thomas	103	5.002e-5
1956	F	Tanja	23	1.117e-5
1956	M	Thomas	44800	0.02088992
1956	M	Felipe	184	8.58e-5
1956	M	Dario	36	1.679e-5
1956	M	Anna	19	8.86e-6
1956	M	Johannes	6	2.8e-6
1957	F	Anna	4445	0.00211914
1957	F	Gina	2105	0.00100355
1957	F	Magdalena	124	5.912e-5
1957	F	Thomas	110	5.244e-5
1957	F	Tanja	34	1.621e-5
1957	M	Thomas	44578	0.0203789
1957	M	Felipe	198	9.052e-5
1957	M	Dario	51	2.331e-5
1957	M	Anna	11	5.03e-6
1957	M	Johannes	7	3.2e-6
1958	F	Anna	4660	0.00225664
1958	F	Gina	2817	0.00136415
1958	F	Magdalena	142	6.876e-5
1958	F	Thomas	117	5.666e-5
1958	F	Tanja	41	1.985e-5
1958	M	Thomas	42066	0.01953796
1958	M	Felipe	192	8.918e-5
1958	M	Dario	46	2.137e-5
1958	M	Johannes	8	3.72e-6
1958	M	Anna	7	3.25e-6
1959	F	Anna	4875	0.00234543
1959	F	Gina	3226	0.00155207
1959	F	Magdalena	155	7.457e-5
1959	F	Thomas	127	6.11e-5
1959	F	Tanja	41	1.973e-5
1959	M	Thomas	40269	0.01858922
1959	M	Felipe	218	1.0063e-4
1959	M	Dario	51	2.354e-5
1959	M	Anna	20	9.23e-6
1959	M	Johannes	14	6.46e-6
1959	M	Gina	5	2.31e-6
1960	F	Anna	4655	0.00223815
1960	F	Gina	3566	0.00171455
1960	F	Magdalena	165	7.933e-5
1960	F	Thomas	120	5.77e-5
1960	F	Tanja	70	3.366e-5
1960	M	Thomas	39279	0.01813689
1960	M	Felipe	204	9.42e-5
1960	M	Dario	47	2.17e-5
1960	M	Anna	14	6.46e-6
1960	M	Johannes	10	4.62e-6
1960	M	Gina	6	2.77e-6
1961	F	Anna	4667	0.00224764
1961	F	Gina	3870	0.0018638
1961	F	Magdalena	168	8.091e-5
1961	F	Thomas	110	5.298e-5
1961	F	Tanja	83	3.997e-5
1961	M	Thomas	37557	0.01742011
1961	M	Felipe	230	1.0668e-4
1961	M	Dario	46	2.134e-5
1961	M	Anna	19	8.81e-6
1961	M	Gina	11	5.1e-6
1961	M	Johannes	6	2.78e-6
1962	F	Anna	4438	0.00218946
1962	F	Gina	4426	0.00218354
1962	F	Magdalena	187	9.226e-5
1962	F	Thomas	113	5.575e-5
1962	F	Tanja	66	3.256e-5
1962	F	Felipe	7	3.45e-6
1962	M	Thomas	36524	0.01737541
1962	M	Felipe	235	1.118e-4
1962	M	Dario	48	2.283e-5
1962	M	Johannes	19	9.04e-6
1962	M	Anna	14	6.66e-6
1962	M	Gina	11	5.23e-6
1963	F	Gina	5336	0.00268419
1963	F	Anna	4251	0.00213839
1963	F	Magdalena	158	7.948e-5
1963	F	Thomas	136	6.841e-5
1963	F	Tanja	91	4.578e-5
1963	F	Felipe	6	3.02e-6
1963	M	Thomas	35504	0.01719166
1963	M	Felipe	214	1.0362e-4
1963	M	Dario	45	2.179e-5
1963	M	Anna	17	8.23e-6
1963	M	Johannes	14	6.78e-6
1963	M	Gina	11	5.33e-6
1964	F	Gina	5232	0.00267314
1964	F	Anna	4287	0.00219032
1964	F	Magdalena	170	8.686e-5
1964	F	Thomas	113	5.773e-5
1964	F	Tanja	104	5.314e-5
1964	M	Thomas	34457	0.01699625
1964	M	Felipe	218	1.0753e-4
1964	M	Dario	39	1.924e-5
1964	M	Anna	21	1.036e-5
1964	M	Johannes	16	7.89e-6
1964	M	Gina	10	4.93e-6
1965	F	Gina	5268	0.00288282
1965	F	Anna	3921	0.0021457
1965	F	Magdalena	168	9.193e-5
1965	F	Thomas	112	6.129e-5
1965	F	Tanja	88	4.816e-5
1965	F	Felipe	5	2.74e-6
1965	M	Thomas	31623	0.01668575
1965	M	Felipe	221	1.1661e-4
1965	M	Dario	62	3.271e-5
1965	M	Johannes	16	8.44e-6
1965	M	Anna	13	6.86e-6
1965	M	Gina	12	6.33e-6
1966	F	Gina	6355	0.00361989
1966	F	Anna	3673	0.00209219
1966	F	Magdalena	150	8.544e-5
1966	F	Thomas	118	6.721e-5
1966	F	Tanja	101	5.753e-5
1966	F	Malika	6	3.42e-6
1966	M	Thomas	29016	0.01596117
1966	M	Felipe	229	1.2597e-4
1966	M	Dario	38	2.09e-5
1966	M	Johannes	21	1.155e-5
1966	M	Anna	16	8.8e-6
1966	M	Gina	15	8.25e-6
1967	F	Gina	6362	0.00370595
1967	F	Anna	3721	0.00216753
1967	F	Thomas	138	8.039e-5
1967	F	Magdalena	135	7.864e-5
1967	F	Tanja	110	6.408e-5
1967	F	Malika	5	2.91e-6
1967	M	Thomas	28276	0.01588741
1967	M	Felipe	219	1.2305e-4
1967	M	Dario	44	2.472e-5
1967	M	Johannes	18	1.011e-5
1967	M	Gina	14	7.87e-6
1967	M	Anna	13	7.3e-6
1968	F	Gina	6040	0.0035331
1968	F	Anna	3562	0.00208359
1968	F	Thomas	121	7.078e-5
1968	F	Magdalena	117	6.844e-5
1968	F	Tanja	110	6.434e-5
1968	F	Tamina	5	2.92e-6
